[ROOT-INFO]: 2019-07-15 19:14:06,020: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * polarityOnly
[ROOT-INFO]: 2019-07-15 19:14:06,022: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:14:32,620: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:14:32,624: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (it,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (it,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (it,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (just,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (neutral,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (neutral,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (neutral,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (picture,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (picture,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: (picture,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:12,988: [('This', 0.24694048247613418), ('is', 0), ('a', 0.2884445761396642), ('kind', 0.0), ('of', 0), ('neutral', 0.26653587024050246), ('picture', 0.23521226366585207), ('of', 0), ('a', 0.2884445761396642), ('girl', 0.0), ('.', 0), ('It', 0.050403833236915725), ('kind', 0), ('of', 0), ('haunts', 0.0), ('me', 0.04885061601171729), ('though', 0), ('.', 0), ('She', 0.06309890944723907), ('does', 0), ("n't", 0), ('look', 0.18553555124342033), ('particularly', 0.3752668200687196), ('happy', 0), (',', 0), ('but', 0), ('I', 0.04225300877561784), ('hope', 0.26926471406688113), ('it', 0.050403833236915725), ("'s", 0), ('just', 0), ('a', 0.2884445761396642), ('neutral', 0.26653587024050246), ('picture', 0.23521226366585207), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (heart,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (outside,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (outside,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (outside,IN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (body,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (body,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (person,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (need,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (to,TO)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (be,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (be,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (be,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (care,VBN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: (of,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,004: [('This', 0.24694048247613418), ('is', 0), ('a', 0.2884445761396642), ('heart', 0), ('outside', 0.009321035088275741), ('the', 0.26040094726988117), ('body', 0.0), ('.', 0), ('The', 0.26040094726988117), ('person', 0), ('needs', 0), ('to', 0), ('be', 0.24379422288934668), ('cared', 0), ('of', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (Halloween,NNP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (Halloween,NNP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (Halloween,NNP) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (prop,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (prop,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (of,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (fake,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (disfigured,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (disfigured,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (disfigured,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (hand,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (fake,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (blood,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (blood,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (look,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (like,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (like,IN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (barbecue,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: Synonyms of barbecue: ['barbeque']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: (sauce,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,020: [('This', 0.24694048247613418), ('is', 0), ('a', 0.2884445761396642), ('Halloween', 0.0), ('prop', 0.0), ('of', 0), ('a', 0.2884445761396642), ('fake', 0), ('disfigured', 0.044516130540302665), ('hand', 0), ('.', 0), ('The', 0.26040094726988117), ('fake', 0), ('blood', 0.0), ('looks', 0), ('like', 0.0), ('barbecue', 0.0), ('sauce', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (need,VBG)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (special,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (special,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (special,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (treatment,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (treatment,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (treatment,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (think,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (think,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (think,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (mom,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: Synonyms of mom: ['mammy', 'momma', 'ma', 'mum', 'mama', 'mamma', 'mommy', 'mummy']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: ('s,POS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (hand,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,037: (touch,VBG)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: ('s,POS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (hand,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (which,WDT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (really,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (sweet,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (hope,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (hope,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (hope,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (baby,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (will,MD)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (will,MD) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (will,MD) Categories: ['future_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (be,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (be,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (be,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (alright,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (alright,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: (alright,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,054: [('This', 0.24694048247613418), ('is', 0), ('a', 0.2884445761396642), ('baby', 0), (',', 0), ('needing', 0), ('special', 0.20494854047148686), ('treatment', 0.20460752048800063), ('.', 0), ('I', 0.04225300877561784), ('think', 0.1687495190146021), ('the', 0.26040094726988117), ('mom', 0.0), ("'s", 0), ('hand', 0), ('is', 0), ('touching', 0), ('the', 0.26040094726988117), ('baby', 0), ("'s", 0), ('hand', 0), ('which', 0), ('is', 0), ('really', 0), ('sweet', 0), ('.', 0), ('I', 0.04225300877561784), ('hope', 0.26926471406688113), ('the', 0.26040094726988117), ('baby', 0), ('will', 0.21716624123219505), ('be', 0.24379422288934668), ('alright', 0.3621341358827668), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,072: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,072: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,072: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (guy,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (be,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (get,VBG)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (portrait,NNS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (portrait,NNS) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (portrait,NNS) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (take,VBN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (of,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (him,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (him,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (him,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (possibly,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (possibly,RB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (possibly,RB) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (for,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (some,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (graduation,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (picture,NNS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (picture,NNS) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (picture,NNS) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (seem,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (bit,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (bit,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (unhappy,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (unhappy,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: (unhappy,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,073: [('This', 0.24694048247613418), ('guy', 0), ('is', 0), ('getting', 0), ('portraits', 0.2968491655125006), ('taken', 0), ('of', 0), ('him', 0.04969760176957071), (',', 0), ('possibly', 0.3158236632539503), ('for', 0), ('some', 0), ('graduation', 0), ('pictures', 0.19618588467815118), ('?', 0), ('He', 0.051641248360820784), ('seems', 0), ('a', 0.2884445761396642), ('bit', 0.0), ('unhappy', 0.6823210129862021), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,089: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,089: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (guy,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (have,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (nasty,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: Synonyms of nasty: ['awful']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,090: (scare,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,092: (on,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,092: (the,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,092: (the,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,092: (the,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,092: (entire,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,093: (side,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,093: (of,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (his,PRP$)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (his,PRP$) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (his,PRP$) Categories: ['fps', 'pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (face,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (face,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (feel,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (feel,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (feel,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,094: (really,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (bad,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (bad,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (for,IN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (him,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (him,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (him,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (hope,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (hope,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (hope,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (he,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (he,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (he,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (get,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: (well,JJR)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,095: [('This', 0.24694048247613418), ('guy', 0), ('has', 0), ('a', 0.2884445761396642), ('nasty', 0.0), ('scare', 0), ('on', 0), ('the', 0.26040094726988117), ('entire', 0), ('side', 0), ('of', 0), ('his', -0.0005731074346123639), ('face', 0.0), ('.', 0), ('I', 0.04225300877561784), ('feel', 0.2521370294821231), ('really', 0), ('bad', 0.0), ('for', 0), ('him', 0.04969760176957071), ('.', 0), ('I', 0.04225300877561784), ('hope', 0.26926471406688113), ('he', 0.051641248360820784), ('gets', 0), ('better', 0), ('.', 0)]
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (this,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (this,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (this,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (child,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (seem,VBZ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (rather,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (distressed,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (distressed,JJ) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (distressed,JJ) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (but,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (so,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (many,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (child,NNS)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VBP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VBP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (do,VBP) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (not,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (see,VB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (see,VB) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (see,VB) Categories: ['present_tense']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (a,DT)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (a,DT) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (a,DT) Categories: ['pos_articles']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (big,JJ)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: Synonyms of big: ['large']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (problem,NN)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (problem,NN) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (problem,NN) Categories: ['greater_than_6']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (though,RB)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (so,CC)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP) exists in scoring bank
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (i,PRP) Categories: ['fps']
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (can,MD)
[REAPPRAISAL-DEBUG]: 2019-07-15 19:15:13,113: (not,RB)
